first,last,prediction
1696214850,1696214859,99.99999403953552
1696214860,1696214869,100.0
1696214870,1696214879,99.99889135360718
1696214880,1696214889,99.99994039535522
1696214890,1696214899,99.99659061431885
1696214900,1696214909,100.0
1696214910,1696214919,100.0
1696214920,1696214929,100.0
1696214930,1696214939,99.99993443489075
1696214940,1696214949,99.99926686286926
1696214950,1696214959,99.99999403953552
1696214960,1696214969,99.99998807907104
1696214970,1696214979,99.99999403953552
1696214980,1696214989,100.0
1696214990,1696214999,100.0
1696215000,1696215009,100.0
1696215010,1696215019,99.99997615814209
1696215020,1696215029,100.0
1696215030,1696215039,100.0
1696215040,1696215049,100.0
1696215050,1696215059,99.99831318855286
1696215060,1696215069,100.0
1696215070,1696215079,99.99998807907104
1696215080,1696215089,99.99998807907104
1696215090,1696215099,100.0
1696215100,1696215109,100.0
1696215110,1696215119,100.0
1696215120,1696215129,100.0
1696215130,1696215139,99.99985098838806
1696215140,1696215149,100.0
1696215150,1696215159,100.0
1696215160,1696215169,100.0
1696215170,1696215179,99.9999463558197
1696215180,1696215189,99.99871253967285
1696215190,1696215199,99.99998807907104
1696215200,1696215209,100.0
1696215210,1696215219,100.0
1696215220,1696215229,100.0
1696215230,1696215239,100.0
1696215240,1696215249,100.0
1696215250,1696215259,99.99995231628418
1696215260,1696215269,100.0
1696215270,1696215279,99.99997019767761
1696215280,1696215289,100.0
1696215290,1696215299,100.0
1696215300,1696215309,100.0
1696215310,1696215319,99.9991238117218
1696215320,1696215329,99.99992847442627
1696215330,1696215339,100.0
1696215340,1696215349,99.98941421508789
1696215350,1696215359,99.99844431877136
1696215360,1696215369,99.9988853931427
1696215370,1696215379,99.99992847442627
1696215380,1696215389,99.99998807907104
1696215390,1696215399,99.99783635139465
1696215400,1696215409,99.96306896209717
1696215410,1696215419,99.99998211860657
1696215420,1696215429,99.99987483024597
1696215430,1696215439,99.99656081199646
1696215440,1696215449,99.99997615814209
1696215450,1696215459,99.99998211860657
1696215460,1696215469,100.0
1696215470,1696215479,99.99958276748657
1696215480,1696215489,99.99997019767761
1696215490,1696215499,100.0
1696215500,1696215509,100.0
1696215510,1696215519,99.99963045120239
1696215520,1696215529,99.9991238117218
1696215530,1696215539,99.99892711639404
1696215540,1696215549,99.99996423721313
1696215550,1696215559,99.99999403953552
1696215560,1696215569,99.99996423721313
1696215570,1696215579,99.99468922615051
1696215580,1696215589,99.99991655349731
1696215590,1696215599,99.99998807907104
1696215600,1696215609,99.99811053276062
1696215610,1696215619,100.0
1696215620,1696215629,99.99992847442627
1696215630,1696215639,100.0
1696215640,1696215649,99.99996423721313
1696215650,1696215659,100.0
1696215660,1696215669,99.99998211860657
1696215670,1696215679,99.99997615814209
1696215680,1696215689,99.99998807907104
1696215690,1696215699,100.0
1696215700,1696215709,100.0
1696215710,1696215719,99.99992251396179
1696215720,1696215729,99.99994039535522
1696215730,1696215739,99.99984502792358
1696215740,1696215749,99.99989867210388
1696215750,1696215759,99.99996423721313
1696215760,1696215769,100.0
1696215770,1696215779,100.0
1696215780,1696215789,100.0
1696215790,1696215799,99.99998807907104
1696215800,1696215809,99.99990463256836
1696215810,1696215819,98.61856698989868
1696215820,1696215829,99.93804097175598
1696215830,1696215839,100.0
1696215840,1696215849,100.0
1696215850,1696215859,99.99992847442627
1696215860,1696215869,99.97112154960632
1696215870,1696215879,100.0
1696215880,1696215889,100.0
1696215890,1696215899,100.0
1696215900,1696215909,100.0
1696215910,1696215919,99.99985694885254
1696215920,1696215929,99.99995231628418
1696215930,1696215939,99.99990463256836
1696215940,1696215949,99.99998211860657
1696215950,1696215959,99.99995827674866
1696215960,1696215969,99.99998211860657
1696215970,1696215979,99.99997615814209
1696215980,1696215989,99.99997019767761
1696215990,1696215999,99.99999403953552
1696216000,1696216009,100.0
1696216010,1696216019,99.99992847442627
1696216020,1696216029,100.0
1696216030,1696216039,100.0
1696216040,1696216049,100.0
1696216050,1696216059,99.99999403953552
1696216060,1696216069,100.0
1696216070,1696216079,99.99995231628418
1696216080,1696216089,99.99997019767761
1696216090,1696216099,100.0
1696216100,1696216109,100.0
1696216110,1696216119,100.0
1696216120,1696216129,100.0
1696216130,1696216139,100.0
1696216140,1696216149,99.99998807907104
1696216150,1696216159,99.99991059303284
1696216160,1696216169,100.0
1696216170,1696216179,100.0
1696216180,1696216189,99.99999403953552
1696216190,1696216199,100.0
1696216200,1696216209,100.0
1696216210,1696216219,100.0
1696216220,1696216229,100.0
1696216230,1696216239,99.99999403953552
1696216240,1696216249,100.0
1696216250,1696216259,99.97310638427734
1696216260,1696216269,99.99998807907104
1696216270,1696216279,99.99996423721313
1696216280,1696216289,100.0
1696216290,1696216299,100.0
1696216300,1696216309,99.99974370002747
1696216310,1696216319,99.99998807907104
1696216320,1696216329,99.99997615814209
1696216330,1696216339,100.0
1696216340,1696216349,99.99999403953552
1696216350,1696216359,100.0
1696216360,1696216369,100.0
1696216370,1696216379,99.99998211860657
1696216380,1696216389,100.0
1696216390,1696216399,100.0
1696216400,1696216409,100.0
1696216410,1696216419,99.99999403953552
1696216420,1696216429,99.99998211860657
1696216430,1696216439,100.0
1696216440,1696216449,99.99998807907104
1696216450,1696216459,100.0
1696216460,1696216469,100.0
1696216470,1696216479,100.0
1696216480,1696216489,100.0
1696216490,1696216499,99.99904036521912
1696216500,1696216509,100.0
1696216510,1696216519,100.0
1696216520,1696216529,100.0
1696216530,1696216539,99.99998807907104
1696216540,1696216549,99.99885559082031
1696216550,1696216559,99.99931454658508
1696216560,1696216569,100.0
1696216570,1696216579,99.99984502792358
1696216580,1696216589,99.97484087944031
1696216590,1696216599,99.99998211860657
1696216600,1696216609,100.0
1696216610,1696216619,99.99993443489075
1696216620,1696216629,100.0
1696216630,1696216639,99.99997019767761
1696216640,1696216649,100.0
1696216650,1696216659,100.0
1696216660,1696216669,99.99998807907104
1696216670,1696216679,100.0
1696216680,1696216689,99.99857544898987
1696216690,1696216699,99.99997615814209
1696216700,1696216709,99.99999403953552
1696216710,1696216719,99.99769330024719
1696216720,1696216729,99.99999403953552
1696216730,1696216739,99.948650598526
1696216740,1696216749,99.97090101242065
1696216750,1696216759,99.99991655349731
1696216760,1696216769,99.99957084655762
1696216770,1696216779,99.98438358306885
1696216780,1696216789,99.99955892562866
1696216790,1696216799,99.99516606330872
1696216800,1696216809,37.25116550922394
1696216810,1696216819,1.8142243847250938
1696216820,1696216829,52.5123655796051
1696216830,1696216839,99.5506763458252
1696216840,1696216849,100.0
1696216850,1696216859,99.99997019767761
1696216860,1696216869,99.99997615814209
1696216870,1696216879,99.9999463558197
1696216880,1696216889,100.0
1696216890,1696216899,99.99999403953552
1696216900,1696216909,99.99995231628418
1696216910,1696216919,99.99999403953552
1696216920,1696216929,99.99988675117493
1696216930,1696216939,100.0
1696216940,1696216949,99.99995231628418
1696216950,1696216959,99.99653100967407
1696216960,1696216969,99.9998927116394
1696216970,1696216979,99.96776580810547
1696216980,1696216989,93.41006278991699
1696216990,1696216999,99.99998807907104
1696217000,1696217009,99.94537830352783
1696217010,1696217019,99.99997615814209
1696217020,1696217029,99.99994039535522
1696217030,1696217039,99.9991238117218
1696217040,1696217049,100.0
1696217050,1696217059,99.99976754188538
1696217060,1696217069,100.0
1696217070,1696217079,100.0
1696217080,1696217089,99.99983310699463
1696217090,1696217099,99.99778270721436
1696217100,1696217109,100.0
1696217110,1696217119,99.99999403953552
1696217120,1696217129,100.0
1696217130,1696217139,99.99999403953552
1696217140,1696217149,100.0
1696217150,1696217159,99.99998807907104
1696217160,1696217169,100.0
1696217170,1696217179,99.99999403953552
1696217180,1696217189,100.0
1696217190,1696217199,100.0
